train_losses,val_losses,train_accs,val_accs,best_val_acc
0.6720101237297058,0.6813721656799316,0.5,0.5,0.0
2.1480295658111572,0.6851896047592163,0.5,0.5,0.0
2.3194122314453125,1.2063874006271362,0.25,0.5,0.0
6.3860063552856445,1.127760648727417,0.25,0.5,0.0
2.3051679134368896,0.6965949535369873,0.5,0.5,0.0
0.7497646808624268,0.9705344438552856,0.75,0.5,0.0
4.083398342132568,1.1148568391799927,0.5,0.5,0.0
2.8014445304870605,1.159502625465393,0.5,0.5,0.0
1.5674471855163574,1.148697018623352,0.75,0.5,0.0
1.0740431547164917,1.0982601642608643,0.75,0.5,0.0
0.696679413318634,1.043379545211792,0.75,0.5,0.0
2.586261510848999,1.0483646392822266,0.75,0.5,0.0
6.066092491149902,1.03500235080719,0.25,0.5,0.0
0.6077816486358643,1.0352379083633423,0.75,0.5,0.0
3.604825258255005,1.0340688228607178,0.25,0.5,0.0
6.901725282659754e-05,1.034350037574768,1.0,0.5,0.0
0.6938378810882568,1.037604570388794,0.75,0.5,0.0
10.849141120910645,1.0424578189849854,0.0,0.5,0.0
6.610339641571045,1.045497179031372,0.0,0.5,0.0
1.689932107925415,1.052048921585083,0.75,0.5,0.0
